c1|NIILAM NAE SAALGIRAA PAR HAYDD SAYSMOOGIRAAF ASVAD D QURAYSHII KAE MAAT D HAE PAR AYNTT HAN OR 7AM KII AAT DISHIIN RO MEHSUUS KII |NIILAM NAE SAALGIRAA PAR HAYDD SAYSMOOGIRAAF ASVAD D QURAYSHII KAE MAAT D HAE PAR AYNTT HAN OR 7AM KII AAT DISHIIN RO MEHSUUS KII
c2|HAAD ZZII MUD ZZAAHID D BILGIRAAMII MAXZAN OR 7AZVAA KAE AEK ARAB QAARAIIN MAEN INT DIHAAII SAAD DIQ OR D ZZAYNUUIN QAARII T D HAE |HAAD ZZII MUD ZZAAHID D BILGIRAAMII MAXZAN OR 7AZVAA KAE AEK ARAB QAARAIIN MAEN INT DIHAAII SAAD DIQ OR D ZZAYNUUIN QAARII T D HAE 
c3|SAAMAEIIN INFAARMAESHAN KII G HAN GARAD ZZ SUNAEN T DOO VIIZAE KII RIPOORTT MAEN POOSHIID DAA AEK MEHD DUUD D EL VII DDOOMAYSTTIK PAYKID ZZ HAE |SAAMAEIIN INFAARMAESHAN KII G HAN GARAD ZZ SUNAEN T DOO VIIZAE KII RIPOORTT MAEN POOSHIID DAA AEK MEHD DUUD D EL VII DDOOMAYSTTIK PAYKID ZZ HAE 
c4|KAMJOONISTT LOOGOON NAE T DANG HOONAE KAE BAAVAD ZZUUD D KAII SHUBOON MAEN T DAND DIHII SAE APNAE KAYRIIAR KOO MUZAYJAN KAR LIJAA |KAMJOONISTT LOOGOON NAE T DANG HOONAE KAE BAAVAD ZZUUD D KAII SHUBOON MAEN T DAND DIHII SAE APNAE KAYRIIAR KOO MUZAYJAN KAR LIJAA 
c5|TTARAANSFAARMAR PAR MIDDNAAITT MAEN SHAAHIIN GID D H OR UQAAB SAMAET D T SHESTT KAE BAL SARAEAAM SAYNKRROON BARDD BAYTT HT DAE HAYN |TTARAANSFAARMAR PAR MIDDNAAITT MAEN SHAAHIIN GID D H OR UQAAB SAMAET D T SHESTT KAE BAL SARAEAAM SAYNKRROON BARDD BAYTT HT DAE HAYN 
c6|KARRVAE QAHVAE KAA SHAYD DAAII AS7AR KAASHMIIRII BAA7BAANII SIIK HNAE VAALAA PAANT SHVAAN MANAED ZZAR HAE |KARRVAE QAHVAE KAA SHAYD DAAII AS7AR KAASHMIIRII BAA7BAANII SIIK HNAE VAALAA PAANT SHVAAN MANAED ZZAR HAE 
c7|PATT HTT HOON OR SIRKAA HAAD DSAAT DII D DARD D BAAM SAE FORAN SULD ZZ HAAAEN P HIR MIITT HAE OR KOOLAYSTTAROOL SAE BAT SHAEN |PATT HTT HOON OR SIRKAA HAAD DSAAT DII D DARD D BAAM SAE FORAN SULD ZZ HAAAEN P HIR MIITT HAE OR KOOLAYSTTAROOL SAE BAT SHAEN 
c8|KAYOOLARII DDAYM KII MOZUUNIIJAT D SAMD ZZ HAANAE OR ID DAARAE KAE ARKAAN KII T DARBIIJAT DII XID DMAAT D KAE LIIAE HABIIB NAE T DIHRIIK T SHALAAII |KAYOOLARII DDAYM KII MOZUUNIIJAT D SAMD ZZ HAANAE OR ID DAARAE KAE ARKAAN KII T DARBIIJAT DII XID DMAAT D KAE LIIAE HABIIB NAE T DIHRIIK T SHALAAII 
c9|IQT DISAAD DII MUAAMALAAT D KII T DAFHIIM OR FARMAAN BURD DAAR NOOD ZZAVAANOON KII BARIIFING GUFT DGUU MAEN SARAEFAHRIST D LIK HAEN |IQT DISAAD DII MUAAMALAAT D KII T DAFHIIM OR FARMAAN BURD DAAR NOOD ZZAVAANOON KII BARIIFING GUFT DGUU MAEN SARAEFAHRIST D LIK HAEN 
c10|SAD ZZD ZZAAD D RAYSKIJUU MALUUMAAT D K HANGGAALNAE KAE BAAD D D ZZAANAE KIJUUN BILAASOOT SHAE AT SHAANAK SUUIMING PAR RAA7IB HAE  |SAD ZZD ZZAAD D RAYSKIJUU MALUUMAAT D K HANGGAALNAE KAE BAAD D D ZZAANAE KIJUUN BILAASOOT SHAE AT SHAANAK SUUIMING PAR RAA7IB HAE  
